Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating,Pendapatan
Seblak Cobek Seblak Rafael Seblak Ala Rafael_1616 Seblak Sambel Kencur,8782,NomeL Shop,Surabaya,40.0,4.9,351280.0
SEBLAK CUANKI KUAH CUP INSTAN PUSPA ( PUSAKA PARAHYANGAN ) 6 min,12500,Berkah Niaga Jaya,Kab. Garut,750.0,4.9,9375000.0
"(COD) seblak kering kerupuk jengkol bumbu basah,pedas",25000,anugrah seblak,Kab. Bandung,60.0,4.6,1500000.0
Kylafood Paket 4 Seblak Original 1 Batagor,91000,kylafood,Bandung,1000.0,4.9,91000000.0
Seblak Kering Gurih 65gram,12900,Lidigeli,Kab. Garut,100.0,5.0,1290000.0
krupuk seblak hah pedas gurih 200gr,11500,Markas Makaroni,Kab. Bekasi,1000.0,4.9,11500000.0
Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300,Rak Sebelah,Jakarta Pusat,100.0,4.9,5630000.0
"siomay pedas kering,daun jeruk,500g,cemilan pedas,seblak,siomay bandun",23000,anugrah seblak,Kab. Bandung,250.0,4.7,5750000.0
Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),23999,Mama Fuji Official,Tangerang,100.0,4.7,2399900.0
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,20000,KailaAini_collection,Kab. Karawang,70.0,5.0,1400000.0
Seblak instan / seblak instan BANDUNG / seblak instan pedas,4200,AZKIA RASA,Kab. Tasikmalaya,100.0,5.0,420000.0
SEBLAK KERING KERUPUK BETON 500GR PEDAS DAUN JERUK,27999,BANDUNG SNACK CENTER.ID,Kab. Bandung,23.0,4.2,643977.0
Cabe bubuk special baso aci & seblak,11999,aghniya,Tangerang Selatan,250.0,4.9,2999750.0
seblak / paket seblak bumbu komplit pedas ekonomis,3479,Grosir Putra Bdg,Kab. Bandung,750.0,4.8,2609250.0
Kylafood Seblak Original Play,8888,kylafood,Bandung,1000.0,4.9,8888000.0
siomay mini kering 1kg toping seblak baso aci,25999,CUANKI CULAMETAN,Kab. Garut,250.0,4.9,6499750.0
Kylafood Seblak Rempah Autentik isi (5pcs),61275,kylafood,Bandung,250.0,4.8,15318750.0
Bakso Aci Instan Murah Asli Bandung Frozen Baso Cilok Kuah Kenyang,5702,Berkah Food Bandung,Cimahi,10000.0,4.9,57020000.0
Seblak Jadoel Sambel Hedjo Samiraos | Seblak Instan Pedas Murah,18500,Lemari Wanita,Jakarta Timur,4.0,5.0,74000.0
SEBLAK BETON 1KG CIKRUH PEDAS DAUN JERUK BOS SNACK BANDUNG,44450,BOS SNACK BANDUNG,Bandung,1.0,,44450.0
Kylafood Seblak Cup isi 2 pcs,25020,kylafood,Bandung,60.0,4.9,1501200.0
cuanki pangsit segitiga atau cipet isi 40 pcs toping seblak baso aci,13999,CUANKI CULAMETAN,Kab. Garut,100.0,4.9,1399900.0
Kylafood Seblak Kwetiaw,19975,kylafood,Bandung,4000.0,4.9,79900000.0
CUANKI TAHU KERING isi 500pcs Topping SEBLAK Cuanki Baso Aci,130000,jajanangarut19,Jakarta Selatan,30.0,3.4,3900000.0
BASO ACI HOMEMADE boci isi 6 baso aci tulang rangu seblak Boci sehot,3800,NomeL Shop,Surabaya,100.0,4.4,380000.0
Bumbu Seblak Instan 15gr Bisa Untuk 2porsi,2900,Hokishopsurabaya,Surabaya,1.0,5.0,2900.0
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 250 GRAM,18899,Simshop_,Cimahi,18.0,5.0,340182.0
SAMBAL BUMBU SEBLAK / SEBLAK INSTAN / SEBLAK PRAKTIS / PEDAS GURIH,3500,Uai Food,Surabaya,70.0,4.5,245000.0
siomay mini kering 250 gram toping seblak baso aci,7999,CUANKI CULAMETAN,Kab. Garut,250.0,4.9,1999750.0
Kylafood Seblak Mie Baso,24750,kylafood,Bandung,4000.0,4.9,99000000.0
Cuanki tahu bulat kering 50 pcs toping seblak baso aci,17999,CUANKI CULAMETAN,Kab. Garut,70.0,4.9,1259930.0
Kylafood Seblak karuhun,12150,kylafood,Bandung,4000.0,4.8,48600000.0
cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,39999,CUANKI CULAMETAN,Kab. Garut,100.0,4.9,3999900.0
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,42500,kylafood,Bandung,100.0,4.8,4250000.0
siomay mini kering / cuanki / batagor / seblak / bakso aci,9500,fahirastores,Kab. Bandung Barat,250.0,4.9,2375000.0
Kylafood Seblak Mie Baso Sapi Play,24750,kylafood,Bandung,250.0,4.9,6187500.0
Kylafood Seblak karuhun,12150,kylafood,Bandung,4000.0,4.8,48600000.0
Seblak Mommy,13900,Gerai Snack Official Shop,Kab. Tangerang,2000.0,4.6,27800000.0
Seblak ceker 2 putra kemasan gopean (500),8800,BAGEAJAYA FOOD,Kab.Ciamis,250.0,5.0,2200000.0
[ 500gr ] Kerupuk Seblak Bantet / Seblak Kencur Pedas Daun Jeruk -B,19950,Bara Snack Kediri 1,Kediri,12.0,5.0,239400.0
Kerupuk seblak beton as kering cikruh bumbu organik pedas gurih,16750,kerudung bunga,Cimahi,6.0,,100500.0
Seblak instan komplit / seblak instan murah,5000,ismileusa_id,Kab. Bandung,100.0,4.7,500000.0
Elod | Sebring Elod | keripik Elod | seblak kering,29500,This Story Shop,Kab. Bandung,100.0,4.9,2950000.0
Kylafood Seblak Rempah Autentik isi (10pcs),116100,kylafood,Bandung,90.0,4.9,10449000.0
SEBLAK BETON 500GR CIKRUH PEDAS DAUN JERUK BOS SNACK BANDUNG,22550,BOS SNACK BANDUNG,Bandung,,,
Kylafood Mix Pentol Kuah dan Seblak Original,42500,kylafood,Bandung,60.0,4.9,2550000.0
siomay mini kering 250 gram toping seblak baso aci,7999,CUANKI CULAMETAN,Kab. Garut,250.0,4.9,1999750.0
Kylafood Seblak Rempah Autentik isi (10pcs),116100,kylafood,Bandung,90.0,4.9,10449000.0
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Besar,28500,Pasar Keripik Bandung,Bandung,30.0,5.0,855000.0
BATAGOR Seblak 100gr Baso Tahu Goreng Siap Makan,1500,yohangunawan94,Bandung,100.0,5.0,150000.0
Cuanki Lidah Kerupuk Cuanky Topping Baso Aci Seblak isi 150 Pcs,33000,Kerabat Official Store,Kab. Tasikmalaya,250.0,4.9,8250000.0
Kylafood Seblak Kwetiaw,19975,kylafood,Bandung,4000.0,4.9,79900000.0
Kikoya Snack Sapi Panggang / Balado / BBQ / Rumput Laut / Seblak Sunda,1000,The Nut House,Surabaya,40.0,4.8,40000.0
Seblak Mamang Rafael,33000,Ice Cream Universe,Denpasar,9.0,,297000.0
krupuk seblak hah pedas gurih 500gr,26500,Markas Makaroni,Kab. Bekasi,1000.0,4.9,26500000.0
"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",40000,Sajodo Snack & Food,Tasikmalaya,10.0,5.0,400000.0
Kerupuk seblak kering 500 gram extra pedas /seblak kering kencur pedas,28700,oyun kriukzz,Jakarta Barat,50.0,4.7,1435000.0
Krupuk seblak mawar rafael pedas 500gr,23500,Markas Makaroni,Kab. Bekasi,250.0,4.9,5875000.0
Seblak Bapper,16000,Pedas Gilaa,Surabaya,250.0,4.8,4000000.0
Kylafood Seblak Mie Baso Sapi Play,24750,kylafood,Bandung,250.0,4.9,6187500.0
seblak rafael - Asin,19000,Bung Boe Snack,Kab. Sumedang,8.0,5.0,152000.0
Seblak Ceker pedes asin gurih 250gram,15000,SnackTime168,Kab. Badung,,,
Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,19110,Foodstocks,Jakarta Selatan,100.0,5.0,1911000.0
